CART_NUMBER,CSTM_NUMBER,PRODUCT_ID,CART_DATE,QUANTITY,KARAT_CODE
CRT-00001,CSTM-01170,PROD-R00008,2025-07-28 14:13:15,2,24K
CRT-00002,CSTM-00818,PROD-R00009,2025-07-22 06:20:15,1,24K
CRT-00003,CSTM-00271,PROD-E00002,2025-07-26 17:20:15,2,18K
CRT-00004,CSTM-00152,PROD-S00003,2025-07-28 13:21:15,3,24K
CRT-00005,CSTM-00199,PROD-E00006,2025-06-29 20:20:15,1,14K
CRT-00006,CSTM-01274,PROD-S00003,2025-07-28 13:27:15,2,24K
CRT-00007,CSTM-00010,PROD-R00008,2025-07-01 02:20:15,1,14K
CRT-00008,CSTM-00300,PROD-E00003,2025-07-01 18:20:15,2,24K
CRT-00009,CSTM-01010,PROD-E00002,2025-07-09 19:20:15,2,24K
CRT-00010,CSTM-01857,PROD-N00004,2025-07-28 13:46:15,3,24K
CRT-00011,CSTM-00290,PROD-N00009,2025-07-12 12:20:15,1,24K
CRT-00012,CSTM-00534,PROD-G00003,2025-07-08 12:20:15,3,24K
CRT-00013,CSTM-01025,PROD-E00011,2025-07-25 11:20:15,3,18K
CRT-00014,CSTM-00100,PROD-S00007,2025-06-29 05:20:15,3,18K
CRT-00015,CSTM-00320,PROD-N00007,2025-07-14 16:20:15,3,24K
CRT-00016,CSTM-01866,PROD-R00005,2025-07-16 10:20:15,2,18K
CRT-00017,CSTM-00071,PROD-S00005,2025-07-26 16:20:15,3,14K
CRT-00018,CSTM-01489,PROD-N00010,2025-07-21 04:20:15,3,24K
CRT-00019,CSTM-00501,PROD-N00010,2025-07-01 15:20:15,1,14K
CRT-00020,CSTM-00432,PROD-N00006,2025-07-02 15:20:15,1,18K
CRT-00021,CSTM-00041,PROD-R00005,2025-07-27 10:20:15,3,18K
CRT-00022,CSTM-00022,PROD-E00003,2025-07-28 09:20:15,1,24K
CRT-00023,CSTM-00609,PROD-N00002,2025-07-27 20:20:15,3,18K
CRT-00024,CSTM-01147,PROD-R00009,2025-07-24 12:20:15,3,14K
CRT-00025,CSTM-01121,PROD-R00002,2025-07-06 18:20:15,2,24K
CRT-00026,CSTM-01026,PROD-N00001,2025-07-05 18:20:15,1,24K
CRT-00027,CSTM-01798,PROD-N00009,2025-07-09 15:20:15,2,18K
CRT-00028,CSTM-00621,PROD-E00001,2025-07-07 23:20:15,1,18K
CRT-00029,CSTM-01558,PROD-S00001,2025-06-29 21:20:15,2,18K
CRT-00030,CSTM-00216,PROD-R00005,2025-07-12 05:20:15,3,14K
CRT-00031,CSTM-01069,PROD-E00008,2025-07-17 04:20:15,2,14K
CRT-00032,CSTM-00195,PROD-G00003,2025-07-14 22:20:15,1,24K
CRT-00033,CSTM-01448,PROD-E00002,2025-07-22 00:20:15,3,24K
CRT-00034,CSTM-01359,PROD-E00006,2025-07-08 13:20:15,1,14K
CRT-00035,CSTM-00752,PROD-G00003,2025-07-24 20:20:15,3,14K
CRT-00036,CSTM-01584,PROD-G00002,2025-06-29 12:20:15,3,18K
CRT-00037,CSTM-00086,PROD-N00011,2025-07-06 06:20:15,3,14K
CRT-00038,CSTM-01714,PROD-E00005,2025-07-17 06:20:15,3,18K
CRT-00039,CSTM-00855,PROD-G00004,2025-07-04 23:20:15,1,14K
CRT-00040,CSTM-00074,PROD-R00004,2025-07-16 09:20:15,1,18K
CRT-00041,CSTM-01742,PROD-E00009,2025-07-28 13:40:15,3,14K
CRT-00042,CSTM-00080,PROD-N00012,2025-07-12 02:20:15,2,18K
CRT-00043,CSTM-00623,PROD-R00006,2025-07-21 16:20:15,1,24K
CRT-00044,CSTM-00681,PROD-N00008,2025-07-22 07:20:15,2,18K
CRT-00045,CSTM-01089,PROD-N00008,2025-07-17 14:20:15,3,18K
CRT-00046,CSTM-00206,PROD-E00008,2025-07-06 05:20:15,2,14K
CRT-00047,CSTM-01407,PROD-N00003,2025-07-18 07:20:15,2,18K
CRT-00048,CSTM-01325,PROD-R00009,2025-07-27 14:20:15,1,18K
CRT-00049,CSTM-01096,PROD-R00007,2025-07-15 12:20:15,1,14K
CRT-00050,CSTM-01208,PROD-R00001,2025-07-28 13:52:15,3,24K
CRT-00051,CSTM-01166,PROD-G00001,2025-07-28 13:22:15,2,14K
CRT-00052,CSTM-00893,PROD-E00012,2025-07-17 12:20:15,1,14K
CRT-00053,CSTM-01338,PROD-G00004,2025-07-16 03:20:15,3,14K
CRT-00054,CSTM-01856,PROD-S00003,2025-07-11 04:20:15,1,14K
CRT-00055,CSTM-00160,PROD-E00009,2025-07-20 08:20:15,2,24K
CRT-00056,CSTM-00224,PROD-R00004,2025-07-03 01:20:15,3,18K
CRT-00057,CSTM-00046,PROD-G00003,2025-07-02 08:20:15,1,14K
CRT-00058,CSTM-01370,PROD-N00006,2025-07-08 11:20:15,1,18K
CRT-00059,CSTM-01407,PROD-G00002,2025-07-06 23:20:15,3,18K
CRT-00060,CSTM-01188,PROD-G00001,2025-06-29 15:20:15,3,18K
CRT-00061,CSTM-01451,PROD-E00009,2025-07-15 18:20:15,1,18K
CRT-00062,CSTM-01601,PROD-E00004,2025-07-17 06:20:15,3,24K
CRT-00063,CSTM-00720,PROD-S00007,2025-07-28 13:40:15,2,14K
CRT-00064,CSTM-00407,PROD-N00002,2025-07-10 16:20:15,3,14K
CRT-00065,CSTM-01733,PROD-E00005,2025-07-07 12:20:15,3,14K
CRT-00066,CSTM-01140,PROD-R00010,2025-07-19 12:20:15,2,24K
CRT-00067,CSTM-00713,PROD-S00008,2025-07-28 12:20:15,1,24K
CRT-00068,CSTM-00151,PROD-N00012,2025-07-28 13:46:15,3,14K
CRT-00069,CSTM-00651,PROD-E00006,2025-07-28 13:28:15,3,18K
CRT-00070,CSTM-01252,PROD-N00003,2025-07-08 05:20:15,3,18K
CRT-00071,CSTM-00182,PROD-E00010,2025-07-28 13:55:15,1,14K
CRT-00072,CSTM-00674,PROD-E00001,2025-07-25 14:20:15,1,24K
CRT-00073,CSTM-01323,PROD-S00002,2025-07-18 08:20:15,2,24K
CRT-00074,CSTM-01031,PROD-R00004,2025-07-10 15:20:15,2,24K
CRT-00075,CSTM-01040,PROD-E00008,2025-06-30 12:20:15,2,18K
CRT-00076,CSTM-01257,PROD-S00005,2025-07-08 15:20:15,3,14K
CRT-00077,CSTM-01032,PROD-E00008,2025-07-10 00:20:15,3,14K
CRT-00078,CSTM-00353,PROD-N00005,2025-06-29 20:20:15,2,14K
CRT-00079,CSTM-01304,PROD-E00001,2025-07-16 16:20:15,2,24K
CRT-00080,CSTM-01449,PROD-R00005,2025-07-01 03:20:15,3,18K
CRT-00081,CSTM-01813,PROD-N00004,2025-07-17 17:20:15,1,18K
CRT-00082,CSTM-00899,PROD-E00012,2025-07-28 13:32:15,3,24K
CRT-00083,CSTM-00638,PROD-N00012,2025-07-07 13:20:15,1,18K
CRT-00084,CSTM-00864,PROD-N00005,2025-07-07 09:20:15,2,24K
CRT-00085,CSTM-00545,PROD-N00006,2025-07-23 01:20:15,3,18K
CRT-00086,CSTM-01703,PROD-N00001,2025-07-15 02:20:15,1,14K
CRT-00087,CSTM-00929,PROD-N00012,2025-07-05 18:20:15,1,18K
CRT-00088,CSTM-00052,PROD-G00005,2025-07-04 13:20:15,3,24K
CRT-00089,CSTM-01765,PROD-E00001,2025-06-30 08:20:15,3,14K
CRT-00090,CSTM-00067,PROD-S00008,2025-07-09 09:20:15,3,24K
CRT-00091,CSTM-01613,PROD-N00007,2025-07-04 04:20:15,1,18K
CRT-00092,CSTM-01650,PROD-R00005,2025-07-07 13:20:15,2,24K
CRT-00093,CSTM-00539,PROD-E00008,2025-07-28 13:43:15,1,18K
CRT-00094,CSTM-00182,PROD-N00011,2025-07-19 06:20:15,3,18K
CRT-00095,CSTM-00649,PROD-S00005,2025-07-28 13:49:15,1,18K
CRT-00096,CSTM-00322,PROD-E00005,2025-07-01 09:20:15,1,24K
CRT-00097,CSTM-00076,PROD-E00008,2025-07-19 19:20:15,1,14K
CRT-00098,CSTM-01524,PROD-R00005,2025-07-01 12:20:15,1,14K
CRT-00099,CSTM-01727,PROD-N00004,2025-07-19 21:20:15,1,14K
CRT-00100,CSTM-01702,PROD-R00004,2025-07-24 07:20:15,1,24K
CRT-00101,CSTM-01464,PROD-G00003,2025-07-11 00:20:15,3,24K
CRT-00102,CSTM-00533,PROD-E00001,2025-07-23 01:20:15,2,18K
CRT-00103,CSTM-00428,PROD-S00001,2025-07-10 07:20:15,1,24K
CRT-00104,CSTM-00666,PROD-N00002,2025-07-14 06:20:15,3,18K
CRT-00105,CSTM-00473,PROD-G00005,2025-07-21 14:20:15,2,18K
CRT-00106,CSTM-00184,PROD-G00002,2025-07-25 06:20:15,2,14K
CRT-00107,CSTM-00604,PROD-S00003,2025-07-11 08:20:15,2,18K
CRT-00108,CSTM-00100,PROD-E00004,2025-07-23 22:20:15,1,24K
CRT-00109,CSTM-01372,PROD-E00005,2025-07-05 02:20:15,2,14K
CRT-00110,CSTM-01116,PROD-R00008,2025-07-14 21:20:15,2,14K
CRT-00111,CSTM-00318,PROD-N00011,2025-07-20 21:20:15,1,24K
CRT-00112,CSTM-00520,PROD-N00010,2025-07-28 13:38:15,3,14K
CRT-00113,CSTM-01361,PROD-S00006,2025-07-07 16:20:15,2,14K
CRT-00114,CSTM-01430,PROD-R00001,2025-07-11 04:20:15,1,18K
